year,year_annotation,race,race_annotation,estimated_median,estimated_median_error,estimated_mean,estimated_mean_error
2019,NA,ALL RACES,NA,68703,904,98088,1042
2018,NA,ALL RACES,NA,64324,704,91652,914
2017,2,ALL RACES,NA,63761,552,91406,979
2017,NA,ALL RACES,NA,64007,575,89922,892
2016,NA,ALL RACES,NA,62898,764,88578,822
2015,NA,ALL RACES,NA,60987,570,85533,715
2014,NA,ALL RACES,NA,58001,697,81870,793
2013,3,ALL RACES,NA,58904,1183,82660,1201
2013,4,ALL RACES,NA,57095,499,79852,902
2012,NA,ALL RACES,NA,56912,384,79510,773
2011,NA,ALL RACES,NA,57021,470,79375,690
2010,5,ALL RACES,NA,57904,628,79192,696
2009,6,ALL RACES,NA,59458,419,81196,477
2008,NA,ALL RACES,NA,59877,268,81447,474
2007,NA,ALL RACES,NA,62090,285,83568,480
2006,NA,ALL RACES,NA,61268,433,84617,537
2005,NA,ALL RACES,NA,60794,335,83127,516
2004,7,ALL RACES,NA,60150,437,82038,509
2003,NA,ALL RACES,NA,60360,431,82305,495
2002,NA,ALL RACES,NA,60435,326,82442,509
2001,NA,ALL RACES,NA,61126,307,84257,552
2000,8,ALL RACES,NA,62512,323,85059,551
1999,9,ALL RACES,NA,62641,481,84254,719
1998,NA,ALL RACES,NA,61128,595,81517,724
1997,NA,ALL RACES,NA,58961,448,79175,729
1996,NA,ALL RACES,NA,57772,479,76705,707
1995,10,ALL RACES,NA,56945,542,75096,676
1994,11,ALL RACES,NA,55215,414,73816,653
1993,12,ALL RACES,NA,54581,420,72379,644
1992,13,ALL RACES,NA,54874,427,69568,480
1991,NA,ALL RACES,NA,55302,438,69613,471
1990,NA,ALL RACES,NA,56966,479,71158,494
1989,NA,ALL RACES,NA,57705,522,72904,522
1988,NA,ALL RACES,NA,56725,456,70877,521
1987,14,ALL RACES,NA,56261,437,69968,472
1986,NA,ALL RACES,NA,55597,474,68688,459
1985,15,ALL RACES,NA,53664,478,66043,430
1984,16,ALL RACES,NA,52679,394,64546,390
1983,NA,ALL RACES,NA,51126,383,62181,383
1982,NA,ALL RACES,NA,51487,382,62050,378
1981,NA,ALL RACES,NA,51627,445,61677,370
1980,NA,ALL RACES,NA,52461,443,62394,375
1979,17,ALL RACES,NA,54222,423,64410,401
1978,NA,ALL RACES,NA,54326,362,63940,403
1977,NA,ALL RACES,NA,52302,323,62044,311
1976,18,ALL RACES,NA,51973,317,61133,310
1975,19,ALL RACES,NA,51124,342,59698,306
1974,"19,",ALL RACES,NA,52499,332,61393,316
1973,NA,ALL RACES,NA,54216,339,62700,314
1972,21,ALL RACES,NA,53143,334,61851,316
1971,22,ALL RACES,NA,50960,325,58609,306
1970,NA,ALL RACES,NA,51461,310,58926,310
1969,NA,ALL RACES,NA,51863,315,59004,305
1968,NA,ALL RACES,NA,50004,297,56572,297
1967,23,ALL RACES,NA,47938,287,53616,287
2019,NA,WHITE ALONE,24,72204,800,101732,1192
2018,NA,WHITE ALONE,24,68156,657,95650,1052
2017,2,WHITE ALONE,24,67617,878,95448,1101
2017,NA,WHITE ALONE,24,68076,714,93480,1033
2016,NA,WHITE ALONE,24,65901,585,91988,936
2015,NA,WHITE ALONE,24,64864,676,88731,834
2014,NA,WHITE ALONE,24,61470,631,85277,930
2013,3,WHITE ALONE,24,62378,935,85551,1371
2013,4,WHITE ALONE,24,60742,769,83368,984
2012,NA,WHITE ALONE,24,59912,705,83015,851
2011,NA,WHITE ALONE,24,59481,422,82946,791
2010,5,WHITE ALONE,24,60763,489,82741,783
2009,6,WHITE ALONE,24,61947,303,84263,534
2008,NA,WHITE ALONE,24,62268,298,84740,537
2007,NA,WHITE ALONE,24,64417,313,86932,545
2006,NA,WHITE ALONE,24,64410,307,87842,602
2005,NA,WHITE ALONE,24,63718,458,86562,589
2004,7,WHITE ALONE,24,63304,408,85352,578
2003,NA,WHITE ALONE,24,63583,410,85816,566
2002,NA,WHITE ALONE,24,64250,429,85740,574
2001,NA,WHITE,25,64439,498,87592,619
2000,8,WHITE,25,65379,475,88213,622
1999,9,WHITE,25,65149,542,87315,813
1998,NA,WHITE,25,64315,530,85215,825
1997,NA,WHITE,25,62095,647,82696,828
1996,NA,WHITE,25,60489,514,79750,777
1995,10,WHITE,25,59769,514,78089,745
1994,11,WHITE,25,58234,538,77070,738
1993,12,WHITE,25,57584,552,75623,718
1992,13,WHITE,25,57691,460,72710,533
1991,NA,WHITE,25,57951,462,72552,519
1990,NA,WHITE,25,59416,448,74029,545
1989,NA,WHITE,25,60699,486,75941,578
1988,NA,WHITE,25,59967,583,73900,572
1987,14,WHITE,25,59277,490,72958,518
1986,NA,WHITE,25,58451,467,71548,503
1985,15,WHITE,25,56595,497,68754,475
1984,16,WHITE,25,55575,460,67208,429
1983,NA,WHITE,25,53616,399,64761,415
1982,NA,WHITE,25,53902,403,64607,416
1981,NA,WHITE,25,54548,414,64262,401
1980,NA,WHITE,25,55346,468,64911,409
1979,17,WHITE,25,56851,444,66950,439
1978,NA,WHITE,25,56475,409,66309,439
1977,NA,WHITE,25,54999,380,64467,342
1976,18,WHITE,25,54443,371,63485,337
1975,19,WHITE,25,53464,321,61904,335
1974,"19,",WHITE,25,54904,339,63667,339
1973,NA,WHITE,25,56821,356,65124,339
1972,21,WHITE,25,55752,352,64257,343
1971,22,WHITE,25,53303,334,60731,325
1970,NA,WHITE,25,53600,339,60988,330
1969,NA,WHITE,25,54126,325,61192,336
1968,NA,WHITE,25,52064,319,58606,319
1967,23,WHITE,25,49992,298,55576,309
2019,NA,"WHITE ALONE, NOT HISPANIC",24,76057,876,106659,1359
2018,NA,"WHITE ALONE, NOT HISPANIC",24,71922,664,100041,1191
2017,2,"WHITE ALONE, NOT HISPANIC",24,71117,1156,99871,1211
2017,NA,"WHITE ALONE, NOT HISPANIC",24,71071,1095,97466,1134
2016,NA,"WHITE ALONE, NOT HISPANIC",24,69292,894,95624,1067
2015,NA,"WHITE ALONE, NOT HISPANIC",24,67930,962,92355,943
2014,NA,"WHITE ALONE, NOT HISPANIC",24,65135,654,89142,1030
2013,3,"WHITE ALONE, NOT HISPANIC",24,66318,964,89292,1533
2013,4,"WHITE ALONE, NOT HISPANIC",24,64054,1107,87216,1141
2012,NA,"WHITE ALONE, NOT HISPANIC",24,63597,659,86838,945
2011,NA,"WHITE ALONE, NOT HISPANIC",24,63124,615,86650,896
2010,5,"WHITE ALONE, NOT HISPANIC",24,63996,862,86173,889
2009,6,"WHITE ALONE, NOT HISPANIC",24,65053,548,87484,588
2008,NA,"WHITE ALONE, NOT HISPANIC",24,66099,441,88206,593
2007,NA,"WHITE ALONE, NOT HISPANIC",24,67884,502,90456,600
2006,NA,"WHITE ALONE, NOT HISPANIC",24,66635,393,91195,663
2005,NA,"WHITE ALONE, NOT HISPANIC",24,66644,371,90028,654
2004,7,"WHITE ALONE, NOT HISPANIC",24,66359,500,88539,634
2003,NA,"WHITE ALONE, NOT HISPANIC",24,66573,529,89021,621
2002,NA,"WHITE ALONE, NOT HISPANIC",24,66835,431,88517,619
2001,NA,"WHITE, NOT HISPANIC",25,67027,457,90389,674
2000,8,"WHITE, NOT HISPANIC",25,67920,448,90897,671
1999,9,"WHITE, NOT HISPANIC",25,67969,706,90178,879
1998,NA,"WHITE, NOT HISPANIC",25,66715,631,87944,884
