year,year_annotation,race,race_annotation,number,income,percent
2019,NA,ALL RACES,NA,128451,under 15 000,9.1
2019,NA,ALL RACES,NA,128451,15 000 to 24 999,8
2019,NA,ALL RACES,NA,128451,25 000 to 34 999,8.3
2019,NA,ALL RACES,NA,128451,35 000 to 49 999,11.7
2019,NA,ALL RACES,NA,128451,50 000 to 74 999,16.5
2019,NA,ALL RACES,NA,128451,75 000 to 99 999,12.3
2019,NA,ALL RACES,NA,128451,100 000 to 149 999,15.5
2019,NA,ALL RACES,NA,128451,150 000 to 199 999,8.3
2019,NA,ALL RACES,NA,128451,200 000 and over,10.3
2018,NA,ALL RACES,NA,128579,under 15 000,10.1
2018,NA,ALL RACES,NA,128579,15 000 to 24 999,8.8
2018,NA,ALL RACES,NA,128579,25 000 to 34 999,8.7
2018,NA,ALL RACES,NA,128579,35 000 to 49 999,12
2018,NA,ALL RACES,NA,128579,50 000 to 74 999,17
2018,NA,ALL RACES,NA,128579,75 000 to 99 999,12.5
2018,NA,ALL RACES,NA,128579,100 000 to 149 999,15
2018,NA,ALL RACES,NA,128579,150 000 to 199 999,7.2
2018,NA,ALL RACES,NA,128579,200 000 and over,8.8
2017,2,ALL RACES,NA,127669,under 15 000,10
2017,2,ALL RACES,NA,127669,15 000 to 24 999,9.1
2017,2,ALL RACES,NA,127669,25 000 to 34 999,9.2
2017,2,ALL RACES,NA,127669,35 000 to 49 999,12
2017,2,ALL RACES,NA,127669,50 000 to 74 999,16.4
2017,2,ALL RACES,NA,127669,75 000 to 99 999,12.4
2017,2,ALL RACES,NA,127669,100 000 to 149 999,14.7
2017,2,ALL RACES,NA,127669,150 000 to 199 999,7.3
2017,2,ALL RACES,NA,127669,200 000 and over,8.9
2017,NA,ALL RACES,NA,127586,under 15 000,10.1
2017,NA,ALL RACES,NA,127586,15 000 to 24 999,9.1
2017,NA,ALL RACES,NA,127586,25 000 to 34 999,9.2
2017,NA,ALL RACES,NA,127586,35 000 to 49 999,11.9
2017,NA,ALL RACES,NA,127586,50 000 to 74 999,16.3
2017,NA,ALL RACES,NA,127586,75 000 to 99 999,12.6
2017,NA,ALL RACES,NA,127586,100 000 to 149 999,14.8
2017,NA,ALL RACES,NA,127586,150 000 to 199 999,7.5
2017,NA,ALL RACES,NA,127586,200 000 and over,8.5
2016,NA,ALL RACES,NA,126224,under 15 000,10.4
2016,NA,ALL RACES,NA,126224,15 000 to 24 999,9
2016,NA,ALL RACES,NA,126224,25 000 to 34 999,9.2
2016,NA,ALL RACES,NA,126224,35 000 to 49 999,12.3
